id,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.other,appCat.social,appCat.travel,circumplex.arousal,circumplex.valence,mood,screen
AS14.03,2014-03-15,,,,,,,,,,,
AS14.03,2014-03-16,,,,,,,,,,,
AS14.03,2014-03-17,,,,,,,,,,,
AS14.03,2014-03-18,,,,,,,,,,,
AS14.03,2014-03-19,,,,,,,,,,,
AS14.03,2014-03-20,,,,,,,,,,,
AS14.03,2014-03-21,,6.306,8.8,4.5440000000000005,7.082000000000001,,,1.0,2.0,9.0,12.465000033378649
AS14.03,2014-03-22,0.0980392156862745,2.5934999999999997,4.585,1.6469999999999998,16.0785,,28.861,2.0,1.0,8.0,5.730000019073485
AS14.03,2014-03-23,0.00900974025974026,7.7485,6.1015,2.293,14.137,,33.293,-1.0,2.0,9.0,9.838999986648561
AS14.03,2014-03-24,0.02045958476113685,4.1530000000000005,10.106,2.13,11.049000000000001,,,-1.0,1.0,8.0,9.82200002670288
AS14.03,2014-03-25,0.0181818181818182,8.255500000000001,9.92,1.296,12.05,,,0.0,1.0,8.0,12.29900002479555
AS14.03,2014-03-26,0.00847457627118645,3.034,7.526,2.943,12.25,,6.42,0.5,1.0,8.0,12.08349990844725
AS14.03,2014-03-27,0.0378863409770688,3.25,5.7595,2.7039999999999997,10.190999999999999,,,0.5,1.0,8.0,7.2519998550415
AS14.03,2014-03-28,0.023039215686274553,6.085,7.297999999999999,1.197,11.7895,,,-1.0,1.5,8.0,8.4850001335144
AS14.03,2014-03-29,0.03459234812370125,9.655,6.3115000000000006,4.032,6.657500000000001,,,0.0,2.0,9.0,13.17550003528595
AS14.03,2014-03-30,0.0258620689655172,3.2675,6.6205,3.0164999999999997,6.9495000000000005,,,-1.0,1.0,9.0,9.81249988079071
AS14.03,2014-03-31,0.013340978593272167,10.068999999999999,6.077500000000001,1.351,6.155,,,0.0,1.0,7.0,9.73600006103516
AS14.03,2014-04-01,0.0084033613445378,22.3,6.2139999999999995,1.64,7.675000000000001,,,1.0,1.0,8.0,7.8424999713897705
AS14.03,2014-04-02,0.0333333333333333,3.027,4.397,2.084,9.0635,,27.072499999999998,1.0,1.0,7.0,4.17300009727478
AS14.03,2014-04-03,0.0,4.3759999999999994,4.369,2.064,8.406,,,0.0,1.0,8.0,6.69199991226196
AS14.03,2014-04-04,0.02754114630717065,6.8454999999999995,5.8629999999999995,4.297,7.1465,,,0.0,1.0,8.0,11.071999788284302
AS14.03,2014-04-05,0.048536036036036054,4.337,10.812000000000001,1.6504999999999999,10.400500000000001,,9.848,1.0,1.0,8.0,12.880000114440902
AS14.03,2014-04-06,0.0,4.047,6.78,4.757999999999999,11.618,,,0.0,1.0,7.0,16.46949994564055
AS14.03,2014-04-07,0.03197278911564625,8.115,9.3825,2.011,9.107000000000001,,,0.0,1.0,7.0,11.996999979019199
AS14.03,2014-04-08,0.05604338842975205,12.038,5.611000000000001,1.814,6.725,,,0.0,1.0,7.0,9.67200005054474
AS14.03,2014-04-09,0.0,5.024,4.0415,1.6340000000000001,4.0280000000000005,,,1.0,1.0,8.0,4.44600009918213
AS14.03,2014-04-10,0.02101738387004845,51.844500000000004,9.1515,3.2039999999999997,7.2305,13.22,,0.0,1.0,7.0,17.8800001144409
AS14.03,2014-04-11,0.030263157894736853,8.073500000000001,8.102,4.2785,9.674,,,0.0,1.0,8.0,11.3414999246597
AS14.03,2014-04-12,0.0,3.156,3.798,5.884,8.16,,,0.0,1.0,8.0,12.958500027656552
AS14.03,2014-04-13,0.00423728813559322,54.407,15.291,3.8345000000000002,25.769000000000002,,,0.0,1.0,7.0,18.539999961853002
AS14.03,2014-04-14,0.0086206896551724,6.544,7.172999999999999,2.5650000000000004,9.175,1.206,,0.0,1.0,7.0,9.4850001335144
AS14.03,2014-04-15,0.03501529051987765,3.0455,10.22,2.093,9.4755,,,0.0,1.0,8.0,11.140000104904198
AS14.03,2014-04-16,0.0555555555555556,3.0660000000000003,6.434,3.066,10.302,,,1.0,1.0,8.0,10.673499941825849
AS14.03,2014-04-17,0.07083333333333335,4.255,8.559,1.1625,4.7165,,,0.0,1.0,7.0,8.828999996185301
AS14.03,2014-04-18,0.0129310344827586,29.226,11.074000000000002,5.159,3.1010000000000004,,,0.0,1.0,7.5,23.66999995708465
AS14.03,2014-04-19,0.0591931216931217,4.1899999999999995,9.2295,1.123,10.238999999999999,,8.866,1.0,1.0,8.0,7.883000016212465
AS14.03,2014-04-20,0.12877221992558902,7.172000000000001,8.3015,3.0195,7.0489999999999995,,13.3085,0.0,1.0,8.0,9.060999989509586
AS14.03,2014-04-21,0.0,4.2989999999999995,3.279,4.029,7.569,,66.247,0.0,1.0,7.0,10.532500147819505
AS14.03,2014-04-22,0.026552795031055898,3.012,6.281499999999999,2.7989999999999995,6.602,,,0.0,1.0,8.0,9.606500029563904
AS14.03,2014-04-23,0.016771708683473364,6.087000000000001,10.3435,2.035,8.096,,,1.0,1.0,7.0,13.8450000286102
AS14.03,2014-04-24,0.030137495354886648,8.527,12.052,1.8659999999999999,9.049,,,-1.0,1.0,7.0,8.438500046730045
AS14.03,2014-04-25,0.0219711236660389,10.171,8.055,2.1790000000000003,10.245,,,-1.0,1.0,7.5,15.18000006675725
AS14.03,2014-04-26,0.08149049093321539,3.055,8.06,2.485,3.057,0.8809999999999999,,0.0,1.0,7.5,1.25999999046326
AS14.03,2014-04-27,0.00892928326556645,4.47,8.147,5.106,16.113,,28.95,-1.0,1.0,8.0,19.2690000534058
AS14.03,2014-04-28,0.020833333333333315,5.138,8.7,3.1585,9.0855,1.209,,-2.0,1.0,7.0,13.0739998817444
AS14.03,2014-04-29,0.0270313757039421,10.3895,9.427,1.443,7.944500000000001,,,-1.0,1.0,7.0,13.32400000095365
AS14.03,2014-04-30,0.0254401724757456,9.847999999999999,8.3885,3.176,7.695,,,-1.0,1.0,7.0,14.960000038147
